Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent
ADBE,0.35,0.81,3793135.0,2.45,2.04,-2.33,0.0022,0.6905,2.98,0.02
AFL,0.22,0.86,2594235.0,0.25,3.48,5.5,0.0001,0.7209,3.46,0.01
APD,0.25,0.82,933575.0,1.97,3.04,0.02,0.0017,0.0674,5.05,0.02
ALLE,0.25,0.85,892340.0,3.01,3.03,4.14,0.003,0.0189,2.68,0.04
GOOGL,0.31,1.36,31367295.0,3.17,1.07,6.68,0.0115,0.2639,1.43,0.01
GOOG,0.31,1.29,19871275.0,3.04,0.88,6.51,0.0076,0.5746,1.3,0.0
MO,0.19,1.09,8780465.0,-0.01,2.81,13.08,0.0008,0.6318,3.46,0.02
AEE,0.18,0.78,1532330.0,0.44,1.38,1.85,0.0001,0.4476,5.86,0.04
AXP,0.32,1.17,2388880.0,3.57,4.48,2.42,0.003,0.5848,3.45,0.02
AWK,0.24,0.59,1635565.0,0.23,1.58,4.79,0.0002,1.8793,5.07,0.04
AME,0.23,0.69,1404550.0,1.91,3.08,3.81,0.0001,0.4677,1.57,0.01
APH,0.36,0.95,7908390.0,0.51,0.14,4.13,0.0001,0.2714,1.49,0.01
AMAT,0.46,0.9,8308065.0,1.66,0.74,-12.24,0.0016,0.9826,2.51,0.02
ANET,0.57,0.72,10159165.0,0.92,-2.95,16.6,0.0011,0.7344,2.07,0.02
AIZ,0.27,0.85,460505.0,0.52,1.61,15.91,0.0004,4.1034,1.99,0.02
ATO,0.17,0.75,958265.0,0.85,1.72,7.25,0.0001,0.2188,8.64,0.04
ADSK,0.28,0.86,1302640.0,1.46,1.22,-4.3,0.0004,2.1984,1.92,0.02
ADP,0.19,0.73,1580915.0,0.99,2.04,-0.22,0.0001,0.2151,3.46,0.01
AZO,0.22,1.06,112335.0,-0.41,2.59,7.58,0.0026,1.1389,2.2,0.02
AXON,0.56,0.55,723140.0,0.36,1.59,4.25,0.0027,1.314,2.33,0.02
BLK,0.27,0.91,478420.0,2.08,1.16,2.22,0.0012,1.5093,2.35,0.01
BK,0.24,1.06,3269635.0,0.75,1.52,1.61,0.0001,0.7425,2.15,0.01
BKNG,0.27,0.93,210140.0,0.18,4.89,1.57,0.0043,1.2566,3.01,0.02
BSX,0.23,1.49,6321830.0,0.91,2.91,0.03,0.0001,2.7054,2.15,0.01
BR,0.21,0.75,872910.0,0.52,0.61,3.35,0.0002,2.7,1.94,0.01
BRO,0.24,0.42,3771655.0,0.27,1.38,-6.35,0.0001,0.2727,1.61,0.03
CDNS,0.41,0.63,1901470.0,0.59,-0.07,5.25,0.0002,0.3106,1.96,0.02
CAH,0.23,1.03,2600430.0,-2.29,-1.01,-5.75,0.0006,0.2787,2.97,0.03
CAT,0.3,1.1,3447100.0,4.25,6.84,0.44,0.0033,0.3006,2.51,0.01
CBOE,0.23,0.74,957080.0,-1.13,-0.48,-0.03,0.0003,1.5897,2.87,0.03
CNC,0.64,0.68,16139250.0,2.08,3.23,3.59,0.0003,0.4089,1.1,0.06
CMG,0.35,0.56,19322465.0,1.7,-0.91,-6.67,0.0013,0.669,1.27,0.02
CB,0.21,0.77,1816335.0,-0.41,1.27,3.17,0.0002,0.6741,1.4,0.01
CTAS,0.25,1.05,1374915.0,-0.24,-0.44,-3.37,0.0003,0.0685,3.74,0.02
CLX,0.21,0.67,1919285.0,0.39,-1.52,-7.09,0.0004,1.4636,3.37,0.06
CME,0.18,0.83,1911260.0,-1.39,-1.61,-3.59,0.0008,0.3573,2.53,0.02
CMS,0.17,0.74,2458370.0,0.47,1.13,1.2,0.0009,0.0479,4.82,0.04
CL,0.21,0.8,5101820.0,-0.39,1.02,-2.26,0.0001,0.6531,2.45,0.02
CMCSA,0.29,1.05,23977140.0,1.64,2.09,1.4,0.0002,0.0624,2.24,0.01
CPRT,0.27,1.11,5603120.0,2.68,3.99,4.86,0.0003,0.7807,4.06,0.04
CPAY,0.35,0.66,549320.0,4.26,4.26,-1.39,0.0001,2.0,3.84,0.03
COST,0.22,1.43,2194830.0,-1.15,-1.39,2.61,0.0073,0.8475,2.7,0.01
DRI,0.29,0.86,1008005.0,0.99,0.59,2.01,0.0005,3.9208,3.64,0.05
DVA,0.33,0.83,864455.0,2.02,3.68,-3.31,0.0003,1.1717,8.22,0.16
DECK,0.55,0.89,2764245.0,4.21,5.96,-6.63,0.001,0.4173,1.55,0.06
DELL,0.51,0.83,4566370.0,2.35,-5.38,-0.29,0.0023,1.1575,2.63,0.04
DXCM,0.4,0.91,4038590.0,2.03,1.62,-7.56,0.0003,1.3942,2.71,0.03
D,0.23,0.95,4818305.0,1.06,1.24,5.36,0.0003,0.6436,6.72,0.04
DPZ,0.28,1.18,654265.0,0.92,-0.06,-7.11,0.0006,0.4696,4.17,0.1
DTE,0.18,0.96,1310420.0,-0.19,0.73,0.37,0.0001,0.26,2.03,0.02
DUK,0.18,0.63,3490860.0,0.16,1.54,4.57,0.0096,0.005,4.42,0.02
EMN,0.39,0.69,2026360.0,5.2,5.92,-11.33,0.0004,1.2156,1.67,0.03
ETN,0.37,0.75,2622960.0,0.65,-0.97,-11.36,0.001,0.1997,2.78,0.02
ECL,0.19,0.96,1202105.0,0.24,1.03,4.41,0.0002,0.7044,2.16,0.01
EIX,0.34,0.74,3630220.0,3.33,0.18,5.0,0.0012,4.1064,2.07,0.02
EQR,0.24,0.62,2395330.0,1.54,1.78,-3.13,0.0001,0.5738,2.9,0.02
ERIE,0.33,0.75,136415.0,1.82,-0.04,3.0,0.0009,1.0488,11.61,0.07
EXC,0.19,0.59,6278050.0,0.72,0.85,3.12,0.0001,1.0439,3.7,0.03
EXPE,0.41,1.03,2142625.0,4.61,3.55,14.66,0.001,0.4941,4.49,0.06
FFIV,0.29,0.55,567080.0,0.95,0.6,5.97,0.001,0.0844,3.42,0.04
FDS,0.22,0.85,444685.0,1.24,3.25,-9.04,0.0007,1.4903,5.57,0.05
FICO,0.43,0.74,369810.0,3.98,5.42,-7.61,0.0031,0.8467,2.12,0.04
FI,0.4,1.25,4914535.0,-0.23,2.18,-1.65,0.0005,3.8909,1.22,0.01
FTNT,0.44,0.55,11187305.0,2.92,1.15,-23.66,0.0006,0.3444,4.44,0.03
FOXA,0.27,0.77,3717605.0,0.66,1.82,4.85,0.0,0.7347,5.04,0.08
FOX,0.27,0.83,1088245.0,0.83,1.95,4.43,0.0,1.1667,4.06,0.03
GRMN,0.4,0.57,881170.0,2.76,1.54,0.12,0.0002,0.9355,3.11,0.02
IT,0.41,0.73,1736890.0,2.14,4.7,-29.93,0.0005,0.9122,3.15,0.04
GPN,0.41,0.88,2633320.0,5.0,3.71,4.96,0.0009,4.2803,3.49,0.03
GL,0.27,0.69,707730.0,1.16,4.29,4.52,0.0005,0.1396,1.79,0.02
HIG,0.23,0.98,1483465.0,0.62,2.65,8.65,0.0001,0.6515,2.04,0.02
HSY,0.29,0.68,1641010.0,1.15,1.93,-2.3,0.0002,0.5187,5.25,0.08
HPE,0.47,1.18,15426075.0,2.89,6.1,8.3,0.0004,0.0625,2.58,0.04
