Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent,Volume_Score,Price_Change_Score,Relative_Strength_Score,Historical_Vol_Score,Options_Score,Short_Squeeze_Score,Composite_Score,Rank
UAL,0.57,1.17,5158125.0,5.96,2.03,13.03,0.0016,4.2038,1.73,0.05,88.21656050955414,99.36305732484077,95.54140127388536,97.77070063694268,86.40127388535032,58.7579617834395,90.77388535031848,1.0
EXPE,0.41,1.03,2142625.0,4.61,3.55,14.66,0.001,0.4941,4.49,0.06,75.47770700636943,100.0,98.08917197452229,88.53503184713377,63.630573248407636,87.16560509554141,88.07324840764332,2.0
HPE,0.47,1.18,15426075.0,2.89,6.1,8.3,0.0004,0.0625,2.58,0.04,89.49044585987261,97.45222929936305,91.71974522292994,92.99363057324841,33.94904458598726,70.76433121019109,85.02547770700637,3.0
URI,0.37,1.54,498155.0,4.47,2.32,4.69,0.0015,0.4988,3.1,0.04,97.45222929936305,92.99363057324841,75.79617834394905,79.93630573248409,68.28025477707006,68.85350318471338,83.60191082802548,4.0
GPN,0.41,0.88,2633320.0,5.0,3.71,4.96,0.0009,4.2803,3.49,0.03,58.59872611464968,96.81528662420382,78.98089171974523,88.53503184713377,77.8980891719745,69.77707006369427,79.76751592356688,5.0
OMC,0.3,1.4,3394205.0,2.84,4.42,4.18,0.0,1.5263,6.93,0.19,95.54140127388536,89.80891719745223,70.06369426751591,63.05732484076433,26.464968152866245,97.00636942675159,77.37898089171973,6.0
GOOGL,0.31,1.36,31367295.0,3.17,1.07,6.68,0.0115,0.2639,1.43,0.01,94.90445859872611,85.35031847133759,87.89808917197452,64.64968152866241,74.52229299363057,16.24203821656051,76.671974522293,7.0
SLB,0.37,1.3,12363130.0,5.32,7.94,0.39,0.0009,1.3932,1.96,0.02,93.63057324840764,98.08917197452229,46.496815286624205,79.93630573248409,72.54777070063693,46.87898089171975,76.48089171974523,8.0
PODD,0.37,0.71,703730.0,0.89,2.96,13.97,0.0017,2.6144,3.03,0.04,27.388535031847134,95.54140127388536,96.81528662420382,79.93630573248409,85.828025477707,70.50955414012739,76.35031847133759,9.0
AXP,0.32,1.17,2388880.0,3.57,4.48,2.42,0.003,0.5848,3.45,0.02,88.21656050955414,91.0828025477707,59.87261146496815,67.19745222929936,77.03821656050955,59.52229299363057,76.12420382165605,10.0
GOOG,0.31,1.29,19871275.0,3.04,0.88,6.51,0.0076,0.5746,1.3,0.0,92.99363057324841,83.43949044585987,87.26114649681529,64.64968152866241,81.97452229299361,8.694267515923567,75.67515923566879,11.0
CPRT,0.27,1.11,5603120.0,2.68,3.99,4.86,0.0003,0.7807,4.06,0.04,85.98726114649682,87.26114649681529,78.343949044586,49.36305732484077,45.63694267515923,78.43949044585989,74.49363057324841,12.0
LYV,0.29,0.85,2245535.0,2.0,2.98,8.27,0.0005,0.65,9.94,0.12,53.18471337579618,88.53503184713377,91.0828025477707,59.23566878980891,51.68789808917197,93.94904458598727,74.43630573248409,13.0
ROST,0.26,2.37,3268335.0,1.12,0.21,6.45,0.0014,3.3704,2.15,0.02,99.36305732484077,64.3312101910828,86.62420382165605,44.904458598726116,83.69426751592357,35.382165605095544,71.9235668789809,14.0
